Date Opération,Code Agence,encaissements,decaissements,Besoin
2024-01-03,00001,1961716461.0,4023257665.0,-2061541204.0
2024-01-04,00001,1615970894.0,2530098944.0,-914128050.0
2024-01-05,00001,2024829121.0,2658294141.0,-633465020.0
2024-01-08,00001,1966007626.0,2794200478.0,-828192852.0
2024-01-09,00001,3086246622.0,3017706657.0,68539965.0
2024-01-10,00001,1207217596.0,1869966930.0,-662749334.0
2024-01-11,00001,7015881876.0,6958343092.0,57538784.0
2024-01-12,00001,1381965051.0,1791130357.0,-409165306.0
2024-01-15,00001,2097594986.0,2620908507.0,-523313521.0
2024-01-16,00001,2242494845.0,2193848286.0,48646559.0
2024-01-17,00001,1482970350.0,1820630079.0,-337659729.0
2024-01-18,00001,1510790978.0,1933733678.0,-422942700.0
2024-01-19,00001,1405180880.0,1832848200.0,-427667320.0
2024-01-22,00001,1726045904.0,3020738609.0,-1294692705.0
2024-01-23,00001,2092468469.0,2361260894.0,-268792425.0
2024-01-24,00001,1365199049.0,2312545839.0,-947346790.0
2024-01-25,00001,1494386235.0,2109791491.0,-615405256.0
2024-01-26,00001,840903790.0,1391290111.0,-550386321.0
2024-01-29,00001,3321001486.0,3504457257.0,-183455771.0
2024-01-30,00001,1258850491.0,2661243807.0,-1402393316.0
2024-01-31,00001,1366747048.0,2306976842.0,-940229794.0
2024-02-01,00001,1862993535.0,2311166542.0,-448173007.0
2024-02-02,00001,1964612643.0,2257245193.0,-292632550.0
2024-02-05,00001,2231005196.0,2753139765.0,-522134569.0
2024-02-06,00001,1861596723.0,2001570030.0,-139973307.0
2024-02-07,00001,1604528925.0,1993528450.0,-388999525.0
2024-02-08,00001,1584230243.0,1514041625.0,70188618.0
2024-02-09,00001,1700671345.0,2817924138.0,-1117252793.0
2024-02-13,00001,3191716203.0,4319764645.0,-1128048442.0
2024-02-14,00001,1399703475.0,2851697590.0,-1451994115.0
2024-02-15,00001,1238034079.0,1537650281.0,-299616202.0
2024-02-16,00001,1359772025.0,1376759640.0,-16987615.0
2024-02-19,00001,1935036509.0,2281014328.0,-345977819.0
2024-02-20,00001,1268192436.0,2160500940.0,-892308504.0
2024-02-21,00001,1466373178.0,1621261776.0,-154888598.0
2024-02-22,00001,1294715325.0,2067607978.0,-772892653.0
2024-02-23,00001,1692539361.0,2157878197.0,-465338836.0
2024-02-26,00001,2844795926.0,2803847274.0,40948652.0
2024-02-27,00001,1192892936.0,2039864586.0,-846971650.0
2024-02-28,00001,1585956465.0,2298643512.0,-712687047.0
2024-02-29,00001,1423859588.0,1841728691.0,-417869103.0
2024-03-01,00001,1726167875.0,2432064958.0,-705897083.0
2024-03-04,00001,1912936465.0,2519885681.0,-606949216.0
2024-03-05,00001,1540364358.0,3005224050.0,-1464859692.0
2024-03-06,00001,1559619689.0,2249272607.0,-689652918.0
2024-03-07,00001,1893468579.0,2243130360.0,-349661781.0
2024-03-08,00001,1321681780.0,1529438499.0,-207756719.0
2024-03-11,00001,2832667007.0,3253623461.0,-420956454.0
2024-03-12,00001,1242746734.0,1136732425.0,106014309.0
2024-03-13,00001,1488609899.0,2120881497.0,-632271598.0
2024-03-14,00001,1036762121.0,1796098900.0,-759336779.0
2024-03-15,00001,983747483.0,1560126399.0,-576378916.0
2024-03-18,00001,2218921964.0,2073528688.0,145393276.0
2024-03-19,00001,1012961784.0,1979843701.0,-966881917.0
2024-03-20,00001,1424452164.0,2271083930.0,-846631766.0
2024-03-21,00001,954538399.0,1519544466.0,-565006067.0
2024-03-22,00001,1651322241.0,2776628673.0,-1125306432.0
2024-03-25,00001,1800816101.0,3223895144.0,-1423079043.0
2024-03-26,00001,1342694382.0,2168265219.0,-825570837.0
2024-03-27,00001,1175688492.0,2300981680.0,-1125293188.0
2024-03-28,00001,1036682335.0,2511471618.0,-1474789283.0
2024-04-01,00001,2754889325.0,3482214024.0,-727324699.0
2024-04-02,00001,1661807369.0,2170726911.0,-508919542.0
2024-04-03,00001,1316829218.0,2363027738.0,-1046198520.0
2024-04-04,00001,1624013796.0,2265303900.0,-641290104.0
2024-04-05,00001,1483750554.0,2207798619.0,-724048065.0
2024-04-08,00001,1722950317.0,2534571527.0,-811621210.0
2024-04-09,00001,1525446810.0,2428742038.0,-903295228.0
2024-04-10,00001,375731035.0,411728075.0,-35997040.0
2024-04-11,00001,1256383318.0,1407150675.0,-150767357.0
2024-04-12,00001,1070540562.0,2170962477.0,-1100421915.0
2024-04-15,00001,2028943734.0,2528026735.0,-499083001.0
2024-04-16,00001,1147193914.0,1862299207.0,-715105293.0
2024-04-17,00001,1096555304.0,1498338713.0,-401783409.0
2024-04-18,00001,1447996760.0,2111888948.0,-663892188.0
2024-04-19,00001,876958628.0,2382720204.0,-1505761576.0
2024-04-22,00001,1156776471.0,2309820543.0,-1153044072.0
2024-04-23,00001,1324273612.0,2022825591.0,-698551979.0
2024-04-24,00001,2021449976.0,2342483318.0,-321033342.0
2024-04-25,00001,1244050007.0,2263043430.0,-1018993423.0
2024-04-26,00001,865393158.0,1788644897.0,-923251739.0
2024-04-29,00001,2299422335.0,2534758710.0,-235336375.0
2024-04-30,00001,1290987377.0,2286557525.0,-995570148.0
2024-05-02,00001,1376599927.0,2260785003.0,-884185076.0
2024-05-03,00001,1290319011.0,2672599749.0,-1382280738.0
2024-05-06,00001,1961366817.0,2235554866.0,-274188049.0
2024-05-07,00001,1570826852.0,1962830068.0,-392003216.0
2024-05-08,00001,1395326094.0,1952946886.0,-557620792.0
2024-05-10,00001,2342229354.0,2885114583.0,-542885229.0
2024-05-13,00001,2117354347.0,2849164522.0,-731810175.0
2024-05-14,00001,1868140201.0,1654103258.0,214036943.0
2024-05-15,00001,1182127070.0,1768771493.0,-586644423.0
2024-05-16,00001,1068538401.0,1746966918.0,-678428517.0
2024-05-17,00001,1857198374.0,1978597088.0,-121398714.0
2024-05-21,00001,2027899484.0,2128746169.0,-100846685.0
2024-05-22,00001,1400739589.0,2264569227.0,-863829638.0
2024-05-23,00001,1630401878.0,2650709892.0,-1020308014.0
2024-05-24,00001,1348276487.0,2349287597.0,-1001011110.0
2024-05-27,00001,1694535274.0,2999230522.0,-1304695248.0
2024-05-28,00001,1652096748.0,1790364120.0,-138267372.0
2024-05-29,00001,923498950.0,2290345140.0,-1366846190.0
2024-05-30,00001,1649512145.0,2492908911.0,-843396766.0
2024-05-31,00001,2452983119.0,3551429879.0,-1098446760.0
2024-06-03,00001,2192616388.0,2522061505.0,-329445117.0
2024-06-04,00001,1975069011.0,3251545759.0,-1276476748.0
2024-06-05,00001,1760448393.0,2879030819.0,-1118582426.0
2024-06-06,00001,1712728052.0,2359914456.0,-647186404.0
2024-06-07,00001,1125754161.0,1315196547.0,-189442386.0
